age,study_hours_per_day,social_media_hours,attendance_percentage,sleep_hours,mental_health_rating,exam_score
20,2.6,2.3,80.1,7,9,69.3
18,3.8,0.6,98.3,7.2,9,85.7
22,2.4,1.9,75.3,6.5,1,53.9
19,1.5,2.2,89.1,7.9,1,43.7
17,2.6,2.2,83.3,7,10,79.3
24,3.4,2.2,91.4,5.6,5,71.3
23,2.9,2.4,84.4,6.2,1,61.4
19,2.5,3.1,70.5,4.8,4,45.1
20,1.4,3.5,85.8,6.4,1,39.8
18,3.4,1.7,95.5,7.8,2,70.7
23,1.2,1.1,84.7,7.3,2,35.6
18,4.6,1.2,92.8,8.2,4,93
21,3.6,1.9,74.5,6.1,8,83.2
18,1.3,2.1,84.7,8.1,2,46.6
21,3,1.6,78.8,6.3,9,70.8
22,2.4,0.9,92.5,8.3,9,78.3
23,4,2,85.3,6.5,2,70.7
23,5.5,2.7,91.9,7.3,1,82.6
17,0.7,3.2,95.9,8.3,10,50.3
20,3.7,1.8,91.9,6.3,10,80.9
21,3.3,2,87.7,6.8,9,75.4
17,4.5,1.4,75,8,2,83.7
18,3.8,2.5,85,6.3,8,76.8
18,2.4,1.5,79.7,4.9,3,45.8
17,3,3.2,81.6,9.1,1,58.4
23,2.3,0.4,81.3,5.9,1,70.3
18,5.1,2.1,75.2,6.7,10,99.4
24,3.5,2.9,65.4,7.9,2,62.9
22,6.4,2.7,78.3,5.8,7,98
22,3.4,5.7,86.9,5.3,6,74.7
24,2.4,2.9,71.5,6.8,2,50.4
17,1.2,1.3,85.2,4.3,4,49.4
24,0.8,2.4,100,6.2,2,35.3
21,1.1,0.4,95.2,6.8,1,46.3
21,3.9,2.4,100,6.2,3,68.4
17,4.3,1.5,88.9,4.6,4,84.2
24,1.1,3.6,96.7,8.4,10,54.6
21,4.8,1.8,77.8,6.6,5,88
23,2.8,2.4,78.6,8.2,5,61.5
24,3.7,1.7,57.6,6.2,7,75.7
23,5.9,4.6,96.9,5.4,10,100
21,4.8,2.1,100,6.8,8,82.6
22,3.1,4.7,79.5,6.2,9,71.5
21,2.2,3.5,82.5,5.1,7,57.6
23,0.3,3.1,77.5,8.3,5,36.1
19,2.4,2.9,88.8,5.8,9,67.4
20,3.2,3,96.2,4.3,8,74.8
18,2,0.2,67.6,8.1,10,73.6
24,3.3,2.2,89.1,5.9,9,79.5
19,3.6,3.5,82.2,5.8,10,62.5
21,3.2,2.4,86.1,4.4,8,76.3
22,2.5,0.8,89.6,8.6,6,75.6
17,3.8,2.4,83.1,5,4,64.4
21,4.2,4.5,84,6.6,9,75.3
22,1.9,4,82.9,7.6,9,50.4
20,5.6,2.4,94.7,7,10,100
21,3.4,3.6,89.2,6.4,10,76.4
23,3.5,2.1,87.2,4.5,9,69.9
17,4.6,0.5,72.3,5.5,10,88.9
22,3.8,1.4,81.2,6.7,3,70.4
22,4.9,4.4,94,5.6,3,69.4
22,3.9,2.2,85.4,6.7,6,84.9
20,2.6,2.2,91.6,7.3,6,63.6
21,4,2.1,100,7.7,6,82.2
20,1.8,4.8,95.4,5,5,37.4
24,3.7,4.5,85.9,9.1,5,73.8
18,3.5,5.2,79.9,7.4,2,53.4
18,3.2,2.3,59.5,6.5,7,64.2
24,3.3,2.9,83.3,7.8,4,70.4
21,0.7,0.7,81.7,9.3,3,51.5
23,2.7,4.3,88.9,4.8,8,53.4
20,3.6,1.1,83.5,6.2,4,77.2
17,3.7,2.8,81.8,3.6,4,59.8
22,2,1.2,67.2,6.7,8,55.4
22,5.4,1.8,75.6,6.9,1,69.9
21,2.2,1.5,89.8,6.5,9,71.6
23,5,1.8,100,5.7,7,92.9
18,4.1,1.9,84,4,2,72.4
18,2.5,1.8,88.3,6.9,6,70.5
22,6.2,3.5,94.5,8.2,8,100
21,1.7,1.2,76.9,5.8,5,37.4
20,4.9,2.8,88.7,7,6,88.7
18,5,4,77.6,4.6,10,88.6
20,2.5,1.9,93.6,7,8,68.5
23,5.6,1.6,86.5,6,6,100
18,3.1,2.2,88,5.6,9,66.9
18,3.9,3.9,77.2,5.6,9,71.5
19,3.9,2.7,92.1,6,9,77.8
18,3.3,1.9,100,7,6,67.7
24,4.7,3.1,74.9,4.9,9,96.4
17,4.7,1.2,81.6,6,3,83.1
24,0.9,3.3,87.3,6.5,5,37.9
21,5.5,3,92.9,5.2,2,76.3
21,1,2.1,79.4,8.7,8,52.6
20,5,1.5,56.7,5.5,4,83.6
24,5.2,1.4,98.6,5.7,6,92
24,1.9,3.1,92.6,5.3,6,53.2
24,2.9,4,67.6,8.7,5,56.4
23,1.8,1.7,78.9,7.2,1,58.1
18,3.2,3.1,100,5.4,7,70.9
17,3,0,99.5,7.8,10,98.7
20,4.7,1.8,94.4,6.7,8,83.3
24,5.5,2.5,83.2,6.8,1,80.6
24,5.6,1.4,85.8,6.1,10,91.3
19,2.7,1.4,83.7,5.6,7,63.5
20,3.2,1.7,96.3,6.9,4,66.3
24,1,2.9,76.2,5.8,6,49.9
20,2.3,2.3,76.9,8.7,9,68.9
18,4.9,0,95.1,5,5,94.2
19,5.9,0,84.6,8.3,8,100
20,1.6,1.8,98.8,6.4,5,58.6
17,2.6,3,78.3,6.9,2,53.2
17,3.5,0,84.5,7.5,4,70.5
21,3.9,1.9,75.8,5.7,2,64
19,2.3,1.9,85.1,7.5,7,77.4
19,4.1,4.2,70.2,3.3,7,57.4
21,2.8,2,80.1,5.6,3,59.9
20,3.5,3,70.6,5.4,7,66.7
19,4.3,2.7,91.9,5,1,58.4
17,3.5,0,92.2,6.2,1,63.6
17,2.8,3.4,67.7,7,9,62.6
24,3.3,2.8,98.3,7.3,6,70.6
18,3.4,3.1,100,6.8,5,75.2
19,2.9,7.2,85.5,5.7,6,50.1
20,3.1,0,78.6,6.9,6,72.8
21,5.9,4.6,100,6.6,1,72.7
21,4.3,2.2,71.8,7.6,5,76
20,3.1,2.8,85.2,7.4,9,74.1
23,4.5,2.4,86.8,6.5,4,79
22,3,2,98.5,5.4,3,51.3
18,5.3,1.8,88.6,5.7,1,71
21,4.1,2.9,80,5.8,2,76.4
19,3.3,0.7,75.5,6.1,3,52.6
18,4.2,3.4,81.6,6.8,4,74
19,1.1,2,74.9,7.4,7,42.6
23,1.8,1.1,85.5,6.4,6,49.8
17,1.7,2,79.4,6.5,8,45.7
18,3.7,4,70.1,6.7,9,77.2
24,6.1,1.9,97.6,5.9,6,98.5
21,6.8,2.9,80,5.4,7,96.2
18,4.5,1.6,72.3,4.4,4,71.3
18,4.3,3.4,83.3,5.7,2,59.2
18,0.8,3.3,85.7,7.1,9,51.8
22,2.7,4.7,67.5,5.7,9,59.3
18,2.3,2.3,88.3,6.2,4,58.5
19,2.6,3.3,74.5,7.1,3,44.5
17,3.2,2.6,100,7.1,10,75.4
23,2.8,4.1,90.2,5.2,6,54.9
20,0.5,1.6,81,7.7,3,30.2
18,4.6,3.4,77.5,7.9,1,71.8
21,1.9,2.3,84,5.1,4,51.8
18,3.9,2.4,91.1,5.5,1,59.5
21,6.6,2.6,84.7,7.9,2,96.6
19,2.1,2.8,82.8,6.3,3,44.1
21,0,2.4,85.6,3.8,8,30.5
24,3.1,2.8,79,4.8,10,63.7
20,5.2,4.4,81.6,6.2,4,74
17,6.4,3.7,64.1,5.1,4,98.8
21,1.7,3.5,94.7,6,10,53
21,4.2,2,88,6.5,9,84.6
17,2.8,1.4,77.3,8.3,7,73
20,3.3,3.6,100,6.2,2,57.1
18,7.5,3.6,85.9,7.8,3,100
21,1.2,4.3,74.6,8.2,4,36.2
17,3.9,1.8,93.6,8.2,4,65.6
24,4.2,2.2,89,6.8,10,87.5
24,5.1,0.5,88.9,4.1,8,100
19,3.6,2,80.7,7.1,10,85.6
17,4,3.7,89.5,7.8,10,89.4
19,2.9,1.9,82.4,6.4,6,66.9
24,3.9,3.3,90.6,8.6,3,56
20,3,2.3,66,7.5,9,77.9
18,4.4,2.9,80.7,7.2,10,91.3
17,2.9,1.1,100,7.8,8,68.4
23,4.1,2.6,77.3,6.9,9,85.3
24,3.5,0,79,3.5,5,64.4
24,5.2,2.3,80.5,5.9,3,82.8
23,3.4,0.5,72.9,7.9,4,78
22,0.8,3.9,62.9,5.5,5,31.5
24,5.4,3.4,82.7,6.2,9,92.3
21,2.1,3.1,86.4,5.2,9,50.1
20,2.5,4.3,84.5,8.6,3,49.4
17,2.6,1.4,83.6,8.5,7,80.3
23,5.6,4.6,85.4,5.4,6,89.7
21,0.3,3.6,95.2,6.7,4,33.6
23,8.2,2.2,83.1,5.7,5,100
17,5.1,3.9,79.3,7.2,10,90.6
19,3.8,1.2,82.2,7.1,2,66.3
17,3.4,1.5,90.8,7.5,7,86.1
22,3.9,1.8,99.1,6.9,4,65.5
17,4.3,1.9,78.7,10,2,82.9
17,4.5,1.2,86,5.3,6,76.3
22,4.3,4,88.4,4.4,2,59
20,3.6,2.2,75.1,6,10,76.1
24,3.2,2.9,85.2,4.6,2,40.3
17,3.3,1.8,70.3,4.7,7,65.2
22,3.2,0.3,67.3,5.3,1,43.9
21,5.2,2.8,88.7,5.4,7,89.5
19,4.4,0.2,81.2,5.4,10,80.7
19,0,2.4,87,7.1,5,53
17,4.5,0.9,84.8,5.9,1,70.6
20,3.8,4.9,75.2,6.3,6,65.5
20,3.5,3.6,84.5,7.6,7,75.1
21,2.9,2.6,72.7,5.6,1,43.5
17,5.2,4,98.9,6.2,9,80.6
19,4.9,1.5,71.4,6.9,7,88.2
20,2.3,3.2,83,4.2,1,48.5
17,4.1,2.7,74.6,3.6,3,67.3
23,2,2.8,90.7,6.9,5,50.7
20,1.4,4,81.7,7.1,4,35.4
22,2.6,3.4,79.8,9,2,49.1
23,4.8,2.8,93.5,6.7,1,85.4
24,4.9,0.5,85.3,7.5,4,83.9
20,4.3,1.3,90.2,6.3,7,90.4
19,4.6,2.4,75.2,6.9,4,87.8
18,4.3,2.6,71,8.5,9,87.5
23,2.5,1.1,86.1,4,8,58.2
24,4.1,5.4,81.8,7,8,73.2
21,4.7,4.3,91.3,9.1,5,83.5
21,4.6,3.2,84.2,6.8,1,77.6
19,5.3,2.6,87.1,8.5,9,98.4
20,4.6,2.2,68.8,5.7,2,78.5
17,4,1.4,100,6.5,6,81.1
20,5.1,2.6,83.4,6.5,10,100
19,3.5,2.8,92,3.8,5,58.7
21,2.2,1,76.6,5.1,10,62.6
20,3.3,2.9,88.1,5.2,8,60.3
21,2.4,2.3,72,7.5,3,63.9
23,2.5,0.2,89.5,7.5,6,80
24,3.3,1.5,81.4,6.9,6,62.6
17,2.3,2,85.3,7.5,10,71.4
23,3,4.8,92,6.3,3,60.6
21,0.7,3.2,72.7,7.9,7,47.2
21,3.8,0.9,78.2,6.5,4,78.1
18,3.5,3.1,89.6,6.6,5,75.5
18,2.3,0.6,100,6.2,9,73.5
23,4.5,3.8,83.6,7.3,6,74.6
22,4.9,1.9,90.9,6,10,98.7
23,1.1,2.4,83.9,7.7,4,49.2
18,2.4,4.1,100,5.1,8,67.4
21,2.3,1,67.5,5.2,9,72.5
19,2.1,0.8,85.9,7.3,10,68.4
23,4.7,1.8,68.7,6.4,5,70
21,3.2,3.7,59.9,6,2,56.1
19,3.1,0.7,88,7.6,6,81.5
19,0.5,0,86.4,5.8,8,45
18,4.5,2,82.2,6.3,5,84.4
23,1.6,3.2,83.9,8.2,1,36.8
20,3.6,3.9,100,8.3,8,65.6
17,3.9,1.9,82.4,8.4,9,93.5
18,5.5,2,90.1,6.2,1,93.7
18,1.5,3.9,78.5,8,8,42.3
20,0,0.3,88,5.4,10,53.3
17,3.8,2,82.6,5.4,2,65.9
21,6.2,2.7,80.9,3.7,4,87.9
22,5.4,3,100,8.5,2,94.5
23,3.8,1.9,96.8,5.5,2,77.8
22,2.8,2.5,86.4,6.3,10,74.6
21,4.7,0,62,5.4,3,67.5
24,2,1.7,81.4,7.3,8,66.5
18,4.2,3,100,6,4,78.4
17,4.3,1.3,82.7,4.9,7,84.9
18,5.1,2.6,96,7,10,96.6
19,7.6,3,99.4,4.8,3,100
18,4.1,2.1,87.2,5.5,10,83.1
18,2.7,2.7,76.6,4,3,36.9
21,3.5,1.3,60.6,4.8,2,60
21,0.8,2.3,91.8,6.7,6,44.3
21,2.5,3.2,76.9,4.1,6,41.6
22,2.9,2.7,86.8,4.7,1,45.5
19,2.7,1.8,72.5,6.5,7,68.2
24,3.7,2.8,82.3,5.8,4,75.5
24,2.3,3.4,85.3,8.9,3,40.9
21,5.2,0,87.7,8.7,8,100
17,3.5,3.9,73.9,5.5,2,65.6
22,3.5,2.1,97,7.2,9,75.9
20,3,3,79,7.4,8,69.8
17,3.7,3.9,68.3,5.8,8,66.6
23,4.7,0.9,83.9,4.7,3,84.5
23,2.2,1.6,85.3,6.5,4,65.6
17,2.5,2.2,86.6,6.3,2,46.8
21,3,1.6,98.6,6,2,67.7
20,1.5,4.6,82.6,7,4,45.4
20,2.3,1.5,83.8,5.6,6,57
22,2.8,1.8,74,5.1,5,58.4
20,4.8,2.7,93.2,6.6,1,70.8
23,3.9,1.1,86.8,7,10,75.7
19,3.8,2,80.8,5.1,1,55.7
21,4.8,2.9,66,7.6,6,82.1
20,3.3,2.1,99.4,4.4,3,71.4
22,4.1,2.4,72.7,5.8,3,66.7
23,3.3,1.9,79.1,6.2,7,70.9
19,3.9,0.7,88.6,5.7,1,73
18,2.6,2.9,73,5.8,1,53.9
18,0,4.6,70.1,8.7,10,43.4
19,3.3,2.5,63.8,5.5,3,55.4
23,5.6,2.8,92.2,9.4,8,100
22,4.9,3.3,79.5,7,1,71.8
19,4.9,1,100,6.6,10,89.2
21,5.4,4.5,75.1,7.1,4,83.9
21,3.6,2.7,75.8,9.5,9,89.1
18,3.8,4.5,79.3,5.3,4,53.5
20,2.6,1.6,87.4,5.2,10,72.9
22,3,4.7,80.3,5.6,8,61
18,4.4,3.4,91.1,6.5,7,69.1
20,5.3,3.2,75.2,4.4,3,77.2
20,3.3,2.8,71.2,6.5,7,71.9
24,2.8,2.2,67,8.5,7,74.7
21,3.5,3.9,62.8,6.7,10,74.5
23,4.4,2.7,79.8,6.1,3,85.4
17,1.3,0.1,82,5.8,2,44.3
23,0.1,1.2,78.7,7.6,9,53.4
17,2.7,2.3,97.4,5.5,1,57.4
19,1.7,2.9,97.3,8.7,7,53.6
21,2.7,2.4,81.7,8.8,4,58.8
20,3.3,4,67.1,6.8,2,43.5
22,2.8,0.2,79.3,6.5,2,65.6
17,5.7,2.7,79,7.7,8,89.8
23,4,0.3,78.4,7.8,7,89.5
20,4,3.4,78,5.5,7,68.8
17,4.4,2.4,78.5,5.9,5,76.8
17,1.8,3,81.1,4.9,10,47.5
24,5.1,1.5,78.6,7,8,89.3
17,3.4,4,87.1,7.3,2,62
22,4.5,3.8,88.6,4.9,2,66.1
21,1.9,3.2,75.9,6,5,41.7
22,1.2,2.3,97.7,4.9,1,28
18,4.7,3.2,75.2,5.4,6,71
20,4.1,1.7,68.8,7.2,4,67.5
21,2.1,3.5,88.8,5.6,6,63.4
24,2.2,4.5,76.8,6.1,7,50.2
21,5.2,3.8,88.2,4.5,3,72
21,1.7,1.6,61,6.7,8,67.9
23,6,2.9,98.9,6.4,7,100
21,2.1,0.9,91.7,5.6,1,55
24,4.5,3.2,70,6.3,6,59.9
22,3,3,70.2,6.7,7,63.2
21,4.4,0.3,100,5.5,4,84.5
19,2.7,1.1,77.6,4.7,2,50.8
20,3.3,2.2,76.7,8.7,10,94
21,3.6,2.1,62.3,5.7,9,65.6
20,2,1,81.5,6.4,7,61.7
19,4.6,3,82.7,7.7,1,66
19,2.7,2.8,92.2,10,8,86.9
20,3.2,2.3,71,5,3,59.6
17,2,1.6,69.8,7,4,49.1
18,0,3.8,89.5,5.7,5,31.1
23,3.2,4.5,95.1,5.9,1,45.7
17,7.1,1.9,69.3,5.6,6,100
17,4.7,1.8,95.8,5.1,10,81.1
22,3.5,3.1,85.4,6.5,6,55.1
23,3.1,2.1,95.9,4.7,2,53.3
23,3.5,2.3,84.3,7.6,10,89.1
17,4.3,3.4,59.8,6.6,6,77.3
21,1.7,0.2,83.5,7,8,56.4
22,5.2,4.1,95.6,5.9,6,76.1
22,4.6,2.6,76.1,6.1,4,74.6
19,4.6,2,81.1,6.8,4,83
24,4.2,2.4,83.2,5.1,9,85.9
23,3.5,2.5,56,6.1,6,64.5
17,4.5,0.4,100,5.5,8,91.9
19,4.4,4.3,76,5.4,8,74.6
20,3,2.5,90.1,4,7,70.9
18,2.6,3,84.1,8.1,3,66.7
24,3.7,3.6,97.6,5.7,10,77.4
24,5.8,1.3,89.1,7.9,1,99
24,1.6,3.1,82.7,7.8,5,43.5
22,1.3,2.2,76.1,5,10,53.4
20,3.7,3.5,93,5.2,10,81
24,3.6,0,66.3,9.6,2,66.2
20,3.8,2.4,91.5,8.6,10,88
21,3.9,1.8,74,6.5,2,64.4
24,3.2,3,97.5,6.8,7,82.4
18,5.7,3.1,86.6,5.7,3,80.9
20,1.1,1.7,91.4,7,8,59.6
20,2.3,1.6,85.8,5.6,9,56.2
18,3.3,2.4,67.5,4.1,8,72.5
24,1,1.4,76.4,4.9,6,47.6
18,3.2,3.5,91.7,6.5,5,63.6
20,6,2.1,86.7,5.1,3,85.3
18,3.5,0,96.8,6.4,3,71.8
20,3.8,2.1,89,5.2,7,70.9
20,1.6,1.3,75.3,5.6,5,41.7
21,2.6,0.5,77,7.5,6,76.1
17,2.9,1,86,6.8,6,65.9
20,3,2.6,61.9,6.5,9,64.4
24,5.4,4.1,100,7.6,1,69.7
19,4.3,2.9,89.4,7.1,8,74.9
